,New Code,Children in Poverty; % of children aged under 16 in poverty; 2011,Employment; Adults not in Employment - 2011 Census; % of households with no adults in employment with dependent children,Employment; Economic Activity (Percentages) - 2011 Census; Employment rate (16-64),Employment; Economic Activity (Percentages) - 2011 Census; Economically active %,Employment; Economic Activity (Percentages) - 2011 Census; Economically active: % Unemployed,Employment; Economic Activity (Percentages) - 2011 Census; Employment rate (16-74),Employment; Lone Parent Not in Employment - 2011 Census; Lone parent not in employment %,Health and Disability; General Health - 2011 Census; % People whose Day-to-day activities are limited a lot,Health and Disability; General Health - 2011 Census; % People with Bad or Very Bad Health,Life Expectancy; Life expectancy at birth (all persons); 2007-2011,Life Expectancy; Male life expectancy; 2007-2011,Out-of-Work Families; Rates children (0-18) living in Out-of-work Benefit Claimant Households; 2011,Population and Age; Age structure (percentage) - 2013; Aged 0-15,Population and Age; Age structure (percentage) - 2013; Aged 16-64,Population and Age; Age structure (percentage) - 2013; Aged 65+,Qualifications; Qualifications and Students - 2011 Census; % of 16+ who are schoolchildren and full-time students: Age 18 and over
542,E05000567,10.3,2.222222222,79.34691599,78.0,5.086122847,74.04918864,33.17757009,5.6,3.5,81.21394656,80.06340505,8.888888889,17.88990826,67.43119266,14.22018349,3.5
543,E05000568,15.9,3.299067655,77.48315265,76.9,6.716032375,71.71035213,36.49122807,6.2,4.0,80.553428,77.03534948,14.48979592,19.52380952,66.19047619,13.80952381,3.6
544,E05000569,14.6,3.389455029,76.83011529,76.1,5.898969757,71.57482305,39.16913947,5.7,3.8,81.73568847,79.80027022,13.52941176,19.6347032,66.66666667,13.24200913,3.5
545,E05000570,18.1,4.057971014,74.22147957,73.7,6.779974136,68.71850742,46.70658683,8.0,4.7,81.5911385,79.39318433,16.22222222,18.39622642,64.1509434,17.45283019,3.1
546,E05000571,28.3,7.209302326,71.99228792,75.1,8.858330668,68.46024502,46.16639478,6.8,4.9,79.56344858,77.18713387,27.01492537,23.96694215,66.52892562,9.090909091,4.4
547,E05000572,14.0,3.319768687,78.8534202,76.8,5.287216212,72.71025851,35.97359736,5.0,3.0,82.98754878,81.20490573,12.10526316,21.33891213,64.43514644,14.22594142,3.2
548,E05000573,45.6,7.786656755,64.59846849,70.4,11.69575063,62.1974104,65.53672316,7.8,6.9,77.26937806,74.54083696,41.33333333,17.54385965,75.43859649,6.666666667,11.5
549,E05000574,46.0,8.619374523,55.88096808,63.6,14.87968105,54.12893879,71.08433735,8.0,7.3,78.61743503,74.94026457,40.73529412,19.04761905,76.19047619,5.102040816,16.9
550,E05000575,39.7,6.33233187,70.83471458,75.8,9.020204582,68.95623759,58.21371611,5.1,4.3,80.48830528,77.21359965,41.7721519,18.03278689,77.04918033,4.683840749,9.5
551,E05000576,48.3,7.581501137,68.88328984,73.9,10.14425314,66.36308961,58.70307167,7.4,6.3,77.60210989,74.88361564,46.5,17.37704918,75.40983607,7.213114754,9.5
